UID,Input,Response
0,"The target item text information: [cate: news, sub_cate: newsus, title: Called to serve: Stockton WWII veteran Mel Corren remembers, abstract: It was the spring of 1942, and the world was full of uncertainty. War was raging in Britain and the fields of Europe but was just becoming a reality in the United States in wake of the bombing of Pearl Harbor on December 7th, 1941, but my friend, Bud Marks and I, except for the realization that sometime in the future we could be called upon to play our part, continued to be schoolboys. Time ...]. Here is the list of item (text information and the profile of the users that the item is targeting):
item 3192: [Text information: cate: autos, sub_cate: autosnews, title: More I-440 ramp closures this weekend, the profile of the users that the item is targeting: User identity: Automotive enthusiast, Road construction worker, Davidson County resident, News junkie, Car enthusiast; User interests: Automotive news, Road construction projects, Local traffic updates, Current events, Celebrity news.];
item 2500: [Text information: cate: travel, sub_cate: travelarticle, title: Milwaukee war hero portrayed by Nick Jonas in new 'Midway' movie, the profile of the users that the item is targeting: User identity: History enthusiast, Movie lover, Family historian, War history buff, Military lover; User interests: World War II history, Action movies, True crime, Family history, Military tactics.];
item 2166: [Text information: cate: sports, sub_cate: football_nfl, title: Kyle Shanahan thinks George Kittle is too tough to rule out vs. Seahawks, the profile of the users that the item is targeting: User identity: Sports fan, Football enthusiast, San Francisco 49ers supporter, Outdoor enthusiast, Police union president; User interests: NFL, Fantasy football, Injury updates, Climbing, Crime.];
item 279: [Text information: cate: lifestyle, sub_cate: lifestylefamily, title: Finally understanding why my father's wartime letters home went up in smoke, the profile of the users that the item is targeting: User identity: Family history enthusiast, World War II history buff, Stationery collector, Lifestyle, News; User interests: Family history, World War II history, Stationery collecting, Current events, Football.];
item 3735: [Text information: cate: news, sub_cate: newsworld, title: Justices take up high-profile case over young immigrants, the profile of the users that the item is targeting: User identity: Young immigrant, Hispanic, LGBTQ+, Human rights activist, Immigration rights advocate; User interests: DACA, Social justice movements, Human rights issues, Immigration policy, Political activism.];
","User identity: Sports fan, Music lover, Travel enthusiast, Health enthusiast, Political activist; User interests: Basketball, Music, Travel, Health and wellness, Social justice."
3,"The target item text information: [cate: weather, sub_cate: weathertopstories, title: Alpine Rescue, Clear Creek First Responders Rescue Climber, abstract: Alpine Rescue and Clear Creek firefighters rescued a climber who fell on the Cat Clab.]. Here is the list of item (text information and the profile of the users that the item is targeting):
item 3158: [Text information: cate: weather, sub_cate: weathertopstories, title: Poudre Fire Authority rescues hiker after fall near Lory State Park, the profile of the users that the item is targeting: User identity: Sports fan, Outdoor enthusiast, Food lover, Health-conscious, Adventurous; User interests: Basketball, Hiking, Food safety, Nutrition, Outdoor activities.];
item 2332: [Text information: cate: weather, sub_cate: weathertopstories, title: 2 skiers die in avalanche in Austrian Alps, the profile of the users that the item is targeting: User identity: Outdoor enthusiast, Sports fan, Weather enthusiast, Skier, Mountain lover; User interests: Skiing, Mountain sports, Weather forecasting, Hiking, Adventure travel.];
item 891: [Text information: cate: news, sub_cate: newsus, title: Abington Medal of Honor recipient honored in Weymouth, the profile of the users that the item is targeting: User identity: Military personnel, Veterans, Outdoor enthusiasts, Hero, Army Sailor; User interests: History, Adventure, Patriotism, Military History, Hiking and Camping.];
item 1713: [Text information: cate: lifestyle, sub_cate: lifestylebuzz, title: Paralyzed woman saved by firefighters in north Harris County, the profile of the users that the item is targeting: User identity: Lifestyle, Firefighters, Paralyzed, TV Celebrity, News; User interests: Lifestyle, Firefighters, Paralyzed, Celebrity News, Crime.];
item 3406: [Text information: cate: news, sub_cate: newsus, title: Construction Worker Falls 40 Feet From Crane In San Francisco, the profile of the users that the item is targeting: User identity: Construction worker, San Francisco resident, News enthusiast, Adventure seeker, Sports fan; User interests: Construction, Local news, Current events, Accidents, Outdoor activities.];
","User identity: Outdoor enthusiast, Adventure seeker, Climber, Adventurer, News enthusiast; User interests: Climbing, Outdoor activities, Adventure sports, Current events, Nutrition."
8,"The target item text information: [cate: sports, sub_cate: football_ncaa, title: Trask's career day lifts No. 10 Florida over Vandy, 56-0, abstract: No. 10 Florida overcame a lackluster start to thump Vanderbilt 56-0 Saturday.]. Here is the list of item (text information and the profile of the users that the item is targeting):
item 2157: [Text information: cate: sports, sub_cate: football_ncaa, title: Diabate makes impact for Gators, the profile of the users that the item is targeting: User identity: College football enthusiast, Florida Gators supporter, Traveler, Gaming enthusiast, Golf enthusiast; User interests: NCAA, Florida Gators, Travel, Gaming, Golf.];
item 2920: [Text information: cate: sports, sub_cate: football_ncaa, title: No. 23 SMU bounces back, tops ECU 59-51 in another shootout, the profile of the users that the item is targeting: User identity: Foodie, Sports fan, Middle Eastern cuisine enthusiast, NCAA football enthusiast, SMU fan; User interests: Affordable dining options, College football, International cuisine, NCAA football games, Following SMU season and rankings.];
item 2964: [Text information: cate: sports, sub_cate: football_ncaa, title: Florida Atlantic downs Florida International in Shula Bowl, moves into first place in C-USA East Division, the profile of the users that the item is targeting: User identity: Football enthusiast, Sports fan, Traveler, Music lover, College football enthusiast; User interests: NCAA football, Florida Atlantic University, Shula Bowl, Travel, Music news.];
item 2924: [Text information: cate: sports, sub_cate: football_ncaa, title: Florida State wins one for interim coach, beats BC 38-31, the profile of the users that the item is targeting: User identity: Football fan, NCAA football fanatic, Florida State alumni, Sports blogger, Football coach; User interests: NCAA football, Football analytics, Sports journalism, Football recruiting, Team strategy.];
item 1411: [Text information: cate: sports, sub_cate: football_ncaa, title: Tampa Catholic finds footing after a forgettable first quarter, the profile of the users that the item is targeting: User identity: Coach, Fitness enthusiast, Sports commentator, Parent of a high school athlete, Football fan; User interests: Training strategies, Sports analytics, Team building, Nutrition, Game analysis.];
","User identity: Sports fan, Football enthusiast, College football follower, Weather enthusiast, Social media activist; User interests: NCAA football, Ohio State Buckeyes, Movies, Basketball, Weather."
13,"The target item text information: [cate: news, sub_cate: newspolitics, title: Trump soaks in Deep South cheers at college football matchup, abstract: President Trump hugged Kurt Suzuki after the Washington Nationals catcher put on a ""Make America Great Again"" hat at the White House on Monday. (Nov. 5)]. Here is the list of item (text information and the profile of the users that the item is targeting):
item 926: [Text information: cate: sports, sub_cate: more_sports, title: Muskegon passes Cedar Springs district test in a rout; East Grand Rapids up next, the profile of the users that the item is targeting: User identity: Sports fan, Football enthusiast, High school sports follower, Cincinnati Bengals fan, Arsenal supporter; User interests: Football, High school football, NFL news, Premier League, Arsenal news and updates.];
item 1431: [Text information: cate: sports, sub_cate: football_ncaa, title: Bicentennial Blowout: Cincinnati Says Good Bye to UConn Football Forever, the profile of the users that the item is targeting: User identity: Sports fan, Football enthusiast, Cincinnati alumnus, Food enthusiast, College football follower; User interests: College football, Football, Cincinnati sports, Healthy eating, Trick plays.];
item 2341: [Text information: cate: sports, sub_cate: football_ncaa, title: LSU coach Ed Orgeron tells team in speech after Alabama win 'This is our house now', the profile of the users that the item is targeting: User identity: Sports fan, LSU football enthusiast, College football follower, Celebrity enthusiast, Traveler; User interests: Football, LSU Tigers, College football rivalries, Entertainment, Travel.];
item 3378: [Text information: cate: sports, sub_cate: football_nfl, title: A possible NFL first: 3 Heisman Trophy winners in the backfield for Ravens' option pitch to Robert Griffin III, the profile of the users that the item is targeting: User identity: Nutrition advocate, Football fanatic, Movie buff, Culinary connoisseur, Basketball aficionado; User interests: Nutrition, Football, Movies, Food and drinks, Basketball.];
item 1595: [Text information: cate: sports, sub_cate: football_nfl, title: Chiefs-Titans: Five questions with the enemy, the profile of the users that the item is targeting: User identity: Sports fan, Football enthusiast, Finance-savvy, Investor, TV enthusiast; User interests: NFL, Football news, Financial news, Finance, TV shows.];
","User identity: Kurt Suzuki, President Trump, Washington Nationals, Sports fan, Football enthusiast; User interests: Politics, Sports, Current Events, NFL, College football."
14,"The target item text information: [cate: movies, sub_cate: movienews, title: Priscilla and Lisa Marie Presley are Not on the Same Page for Elvis Biopic, abstract: Lisa Marie Presley and Priscilla are at odds about what the focus of the Elvis biopic should be.]. Here is the list of item (text information and the profile of the users that the item is targeting):
item 131: [Text information: cate: entertainment, sub_cate: entertainment-books, title: Why the 'His Dark Materials' Books Were Once Considered 'Dangerous', the profile of the users that the item is targeting: User identity: Book lover, Entertainment enthusiast, Religious, Science fiction fan, Travel enthusiast; User interests: Literature, TV shows, Religion, Science fiction, Exploring new places.];
item 1868: [Text information: cate: movies, sub_cate: movies-celebrity, title: Gwyneth Paltrow says her feelings about Harvey Weinstein are complicated, the profile of the users that the item is targeting: User identity: Hollywood gossip follower, Movie buff, Survivor of sexual assault, Advocate for gender equality, Celebrity enthusiast; User interests: Hollywood gossip, Film industry news, Survivors' stories, Gender equality, Sexual assault awareness.];
item 3752: [Text information: cate: news, sub_cate: newsopinion, title: The tax proposals by Elizabeth Warren are simply not realistic, the profile of the users that the item is targeting: User identity: Politics, Economics, Business, Finance, Economy; User interests: Taxation, Economic Policy, Business and Finance, Political Opinion, Current events.];
item 995: [Text information: cate: tv, sub_cate: tv-gallery, title: 8 television shows that didn't age well, the profile of the users that the item is targeting: User identity: TV fan, Pop culture enthusiast, Nostalgia seeker, Social media user, News reader; User interests: TV shows, Pop culture trends, Problematic media, 90s nostalgia, Current events.];
item 2611: [Text information: cate: news, sub_cate: newsopinion, title: Opinions | It's too late to save yourself now, Bill Barr, the profile of the users that the item is targeting: User identity: Conservative, Republican, Trump supporter, Justice Department employee, News enthusiast; User interests: Legal issues, Government accountability, Political news, Current events, Social justice movements.];
","User identity: Elvis fan, Music lover, Movie buff, Pop culture enthusiast, History buff; User interests: Elvis Presley, Movies, Biopics, Celebrity drama, Rock and roll history."
15,"The target item text information: [cate: lifestyle, sub_cate: lifestylebuzz, title: Florida Good News: Steven Tyler, Florida Veteran, Firefighters, abstract: Steven Tyler, Gabrielle Anwar, a veteran and shirtless firefighters are among the good news stories we found across the Sunshine State.]. Here is the list of item (text information and the profile of the users that the item is targeting):
item 3066: [Text information: cate: news, sub_cate: newscrime, title: Lanesville community, Police Department honor teenager after deadly car crash, the profile of the users that the item is targeting: User identity: Lanesville community, Police Department, Thomas Elder, Minnesota Gophers, Nurse; User interests: Community service, crime prevention, community leadership, football, healthcare.];
item 487: [Text information: cate: sports, sub_cate: football_nfl, title: Buccaneers-Cardinals: Why this is a must-win for Tampa Bay, the profile of the users that the item is targeting: User identity: Sports fan, Football enthusiast, Tampa Bay Buccaneers supporter, Political activist, Car enthusiast; User interests: NFL, Tampa Bay Buccaneers, 2020 presidential election, Auto aftermarket, Ocean conservation.];
item 317: [Text information: cate: foodanddrink, sub_cate: beverages, title: Best Dive Bar in Every State, the profile of the users that the item is targeting: User identity: Chief Justice John Roberts, Jeffrey Rosen, David Gura, Sports fan, News enthusiast; User interests: Constitutional law, Tax planning, Retirement savings, Football, Current events.];
item 3401: [Text information: cate: news, sub_cate: newsgoodnews, title: Austin Officer To Be Honored For Good Works, the profile of the users that the item is targeting: User identity: Kenneth Hubbs, Austin Officer, Philanthropist, Caribbean, Community Involvement; User interests: Good Works, Helping Others, Caring for Struggling Families, Good News, Travel and Adventure.];
item 443: [Text information: cate: finance, sub_cate: financenews, title: 'The Mountain Minor' is a major win for Appalachian stories | OPINION, the profile of the users that the item is targeting: User identity: Finance professional, Film enthusiast, History buff, Appalachian storyteller, Cultural researcher; User interests: Finance news, Independent filmmaking, Appalachian culture, Diversity in storytelling, Music preservation.];
","User identity: Sports fan, Weather enthusiast, Lifestyle follower, Florida resident, Movie enthusiast; User interests: Basketball, Weather news, Good news stories, Movies, Lifestyle."
17,"The target item text information: [cate: lifestyle, sub_cate: lifestylefamily, title: Austin Pair Named World's Longest-Living Couple, abstract: With a combined age of 211 (two-hundred eleven) years, the Hendersons are poised to celebrate their 80th anniversary in December.]. Here is the list of item (text information and the profile of the users that the item is targeting):
item 1054: [Text information: cate: news, sub_cate: newsus, title: Oldest living couple in the world is a husband and wife in Texas, the profile of the users that the item is targeting: User identity: Sports fan, Football enthusiast, NFL fan, News enthusiast, Health-conscious individual; User interests: Football, NFL, College football, Medical advancements, Current events.];
item 2981: [Text information: cate: news, sub_cate: newscrime, title: Carolina woman celebrates her 110th birthday, the profile of the users that the item is targeting: User identity: News enthusiast, Health enthusiast, Maria Aulenbacher, Environmentalist, Sports fan; User interests: Current events, Health and wellness, Long-living residents, Environmental conservation, Premier League.];
item 3708: [Text information: cate: entertainment, sub_cate: celebrity, title: Biggest celeb weddings of the last decade, the profile of the users that the item is targeting: User identity: Celebrity enthusiast, Wedding planner, Entertainment lover, Fashionista, Fashion lover; User interests: Celebrity news, Wedding trends, Entertainment updates, Fashion trends, Fashion and beauty.];
item 3719: [Text information: cate: movies, sub_cate: movies-celebrity, title: Sharon Stone Recreates 'Basic Instinct' Scene 27 Years After Film's Release, the profile of the users that the item is targeting: User identity: Movie fan, Sports fan, Fashionista, Traveler, News enthusiast; User interests: Movies, Football, Celebrity news, Fashion trends, Current events.];
item 108: [Text information: cate: entertainment, sub_cate: celebrity, title: Stars turning 70 in 2019, the profile of the users that the item is targeting: User identity: Age enthusiast, Entertainment lover, Celebrity fan, Movie buff, Celebrity enthusiast; User interests: Celebrity news, Birthdays, Entertainment industry, Movie trivia, Aging and longevity.];
","User identity: Crime, Proposals, Sports, Lifestyle, Family; User interests: Crime, Proposals, Sports, Lifestyle, Family."
21,"The target item text information: [cate: autos, sub_cate: autosmotorcycles, title: These Are The Best Harley-Davidson Motorcycles You Can Get For The Cheap, abstract: These are the best Harleys to buy right now.]. Here is the list of item (text information and the profile of the users that the item is targeting):
item 2328: [Text information: cate: travel, sub_cate: traveltips, title: The best Airbnb under $100 in every state, the profile of the users that the item is targeting: User identity: Traveler, Adventurer, Budget-conscious, Finance Enthusiast, Moviegoer; User interests: Exploring new places, trying unique accommodations, finding affordable travel options, Real Estate, Movies.];
item 3087: [Text information: cate: autos, sub_cate: autosenthusiasts, title: Chevrolet Somehow Makes One (1) Electric Pickup Truck, the profile of the users that the item is targeting: User identity: Autos enthusiast, News crime, Food enthusiast, Automotive enthusiast, Auto enthusiast; User interests: Cars, Crime, Food, Automotive industry, Nutrition.];
item 3468: [Text information: cate: autos, sub_cate: autosbuying, title: 12 Best Car Deals This October, the profile of the users that the item is targeting: User identity: Car enthusiast, Sports fan, Environmentalist, Movie lover, Finance enthusiast; User interests: Automotive industry trends, Cars, Football, Circular economy, Finance.];
item 1202: [Text information: cate: autos, sub_cate: autossuvs, title: 12 Best SUV Purchase Deals in September, the profile of the users that the item is targeting: User identity: Automotive shopper, Local news follower, Movie lover, Car enthusiast, News junkie; User interests: Automotive deals, Car shopping, SUVs, Movies, Current events.];
item 1009: [Text information: cate: autos, sub_cate: autosmotorcycles, title: Aston Martin and Brough Superior's AMB 001 is a carbon fiber turbo track bike, but who's it for?, the profile of the users that the item is targeting: User identity: Carbon fiber enthusiast, Track bike enthusiast, High-end consumer, Performance seeker, Motorbike collector; User interests: Carbon fiber technology, Performance vehicles, Luxury items, Motorbike racing, Exotic motorcycles.];
","User identity: Sports fan, Football enthusiast, Basketball follower, News enthusiast, Traveler; User interests: NFL, NBA, Harley-Davidson, Current events, Adventure."
29,"The target item text information: [cate: foodanddrink, sub_cate: foodnews, title: Subway just released a sandwich with green eggs and ham, abstract: This new sandwich brings the classic dish from Dr. Seuss to life.]. Here is the list of item (text information and the profile of the users that the item is targeting):
item 265: [Text information: cate: foodanddrink, sub_cate: restaurantsandnews, title: Popeyes' chicken sandwich is back on the menu, but it seems smaller and less exciting the second time around, the profile of the users that the item is targeting: User identity: Popeyes fan, Chicken sandwich enthusiast, Foodie, Sports fan, Food lover; User interests: Eating at Popeyes, Trying new foods, Keeping up with food trends, Football, Supporting local businesses.];
item 1107: [Text information: cate: foodanddrink, sub_cate: videos, title: How To Make Cast-Iron Cowboy Pan Pizza By Rachael, the profile of the users that the item is targeting: User identity: Sports fan, Food enthusiast, Movie lover, Teenager, Health enthusiast; User interests: Golf, Pizza, Movies, Innovation, Basketball.];
item 3455: [Text information: cate: foodanddrink, sub_cate: foodnews, title: We Tried Krispy Kreme's New Pie Donuts This Was the Best One, the profile of the users that the item is targeting: User identity: Health enthusiast, Food lover, Sports fan, Movie lover, Political activist; User interests: Health and wellness, Food news and trends, College football, Wildlife conservation, Judicial independence.];
item 1715: [Text information: cate: foodanddrink, sub_cate: restaurantsandnews, title: I went to Peter Luger after it received zero stars from New York Times, the profile of the users that the item is targeting: User identity: Food lover, Foodie, Moviegoer, Entertainment enthusiast, Football fan; User interests: Restaurant reviews, Culinary experiences, Blockbuster movies, Political news, Football.];
item 2862: [Text information: cate: foodanddrink, sub_cate: newstrends, title: Shaking Beef, the profile of the users that the item is targeting: User identity: Food lover, News enthusiast, Homeowner, Vietnamese food enthusiast, Health-conscious individual; User interests: Cooking, Current events, Home improvement, Food trends, Healthy eating.];
","User identity: Food lover, News enthusiast, Sports fan, Family friend, Travel enthusiast; User interests: Food news, Local news, Football, Food, Travel."
34,"The target item text information: [cate: news, sub_cate: newspolitics, title: Progressive Dean Preston squeaks out win over mayor's ally in District 5 supes race, abstract: Dean Preston, a tenants rights activist, squeaked out a victory against the appointed incumbent in San Francisco's District Five Saturday   a significant win that deals a major blow to Mayor London Breed and will likely bolster the progressives on the Board of Supervisors. Preston had a 170-vote lead over Supervisor Vallie Brown in the ranked-choice totals, Saturday, with only a handful of the votes left to count. Now, Preston will represent a...]. Here is the list of item (text information and the profile of the users that the item is targeting):
item 2674: [Text information: cate: news, sub_cate: newsus, title: The 'comeback kid': Kshama Sawant pulls ahead in Seattle City Council race, the profile of the users that the item is targeting: User identity: Socialist, Activist, Politically Active, Community-Minded, Environmentalist; User interests: Social Justice, Local Politics, Community Engagement, Climate Change, History.];
item 2291: [Text information: cate: video, sub_cate: news, title: Democratic wins big and small may give Republicans pause on Trump, the profile of the users that the item is targeting: User identity: News Junkie, Political Enthusiast, Social Justice Warrior, Sports fan, Political activist; User interests: Politics, Current Events, Social Justice, Sports news, Democratic politics.];
item 1080: [Text information: cate: news, sub_cate: newspolitics, title: Under indictment, Philly Councilman Bobby Henon faces two challengers for majority leader, the profile of the users that the item is targeting: User identity: Philly Councilman, Majority Leader, Indicted, Challenger, Ambitious; User interests: Politics, City Council, Leadership, Corruption, Mayor Race.];
item 1600: [Text information: cate: sports, sub_cate: more_sports, title: Late Brenham rally spoils Weiss' bid for outright district championship, the profile of the users that the item is targeting: User identity: Healthcare professional, Sports fan, News enthusiast, Food and drink enthusiast, Traveler; User interests: Heart health, Football, College football, Cocktails, Travel.];
item 1717: [Text information: cate: news, sub_cate: newsworld, title: Spain goes to the polls with far-right tipped to make gains, the profile of the users that the item is targeting: User identity: Spanish citizen, concerned citizen, voter, parent, news enthusiast; User interests: Politics, social issues, current events, parenting, political news.];
","User identity: Progressive, Tenants rights activist, San Francisco resident, Environmentalist, Political activist; User interests: Politics, Social justice, Community involvement, Environmental Protection, Local Politics."
