UID,Input,Response
0,"The target item text information: [title: 8 Man, year: 1992]. Here is the list of item (text information and the profile of the users that the item is targeting):
item 434: [Text information: title: Repo Man, year: 1984, the profile of the users that the item is targeting: User identity: Action movie fan, Classic film enthusiast, History buff, Movie buff, Romantic; User interests: Action movies, Comedies, Historical dramas, Crime dramas, Movies from the 90s.];
item 1784: [Text information: title: The Bodyguard, year: 1992, the profile of the users that the item is targeting: User identity: Action movie fan, Movie buff, Thriller lover, Comedy lover, Science fiction enthusiast; User interests: Adventure, Sci-fi, Suspenseful films, Quirky humor, Exploration.];
item 3515: [Text information: title: 8MM, year: 1999, the profile of the users that the item is targeting: User identity: Action movie fan, Comedy lover, Suspense lover, Thriller enthusiast, Movie buff; User interests: Action movies, Comedies, Suspenseful thrillers, Film analysis, Exploring new places.];
item 5348: [Text information: title: Manhunter, year: 1986, the profile of the users that the item is targeting: User identity: Movie buff, Adventure seeker, Comedy lover, Drama enthusiast, Action movie fan; User interests: Action movies, Outdoor adventures, Humorous comedies, Movies from different genres, Film analysis.];
item 683: [Text information: title: Plymptoons, year: 1992, the profile of the users that the item is targeting: User identity: Action movie fan, Classic film enthusiast, Drama lover, Movie buff, Science fiction enthusiast; User interests: Action movies from the '80s and '90s, Cult classics from the early 2000s, Thoughtful dramas exploring human relationships, Movies from the 90s, Psychological thrillers.];
","User identity: Classic film enthusiast, Drama lover, Thriller enthusiast, Science fiction enthusiast, Fantasy lover; User interests: Exploration, Social justice, Suspense, Space exploration, Supernatural stories."
12,"The target item text information: [title: Rudolph the Red-Nosed Reindeer, year: 1964]. Here is the list of item (text information and the profile of the users that the item is targeting):
item 933: [Text information: title: Snow White and the Seven Dwarfs: Bonus Material, year: 1937, the profile of the users that the item is targeting: User identity: Adventure seeker, Comedy lover, Science fiction enthusiast, History enthusiast, Classic film lover; User interests: Quirky comedies, Fantasy genres, Classic rock music, Historical dramas, Family drama.];
item 498: [Text information: title: Leprechaun, year: 1993, the profile of the users that the item is targeting: User identity: Action movie fan, Science fiction enthusiast, Comedy lover, Thriller enthusiast, Nostalgic film lover; User interests: Action movies, Sci-fi thrillers, Quirky comedies, Suspenseful thrillers, Nostalgic classics.];
item 139: [Text information: title: My Favorite Martian #1, year: 1963, the profile of the users that the item is targeting: User identity: Drama lover, Movie buff, Romantic comedy lover, Action movie fan, Thriller enthusiast; User interests: Drama, Social issues, Relationships, Adventure, Suspense.];
item 3183: [Text information: title: From Russia With Love, year: 1963, the profile of the users that the item is targeting: User identity: Action movie fan, Classic film enthusiast, Movie buff, History buff, Adventure seeker; User interests: Action movies, Adventure, Romantic, History, Crime dramas.];
item 1270: [Text information: title: The Twilight Zone: Vol. 16, year: 1963, the profile of the users that the item is targeting: User identity: Movie buff, Comedy lover, Sci-fi fan, Drama lover, Action enthusiast; User interests: Movies from different genres, Humor and satire, Suspenseful plots, Biographical dramas, Movies from the 90s.];
","User identity: Movie buff, Adventure seeker, Comedy lover, Drama enthusiast, Action movie fan; User interests: Drama, Action movies, Humor, Movies from the 90s, Comedy."
14,"The target item text information: [title: A Yank in the R.A.F., year: 1941]. Here is the list of item (text information and the profile of the users that the item is targeting):
item 837: [Text information: title: Ball of Fire, year: 1941, the profile of the users that the item is targeting: User identity: Classic film enthusiast, Action movie fan, Movie buff, Sci-fi enthusiast, Drama enthusiast; User interests: Action movies, Classic films, Thrillers, Sci-fi, Disaster movies.];
item 5458: [Text information: title: The Shanghai Gesture, year: 1941, the profile of the users that the item is targeting: User identity: Movie buff, Classic film lover, Adventure seeker, Music lover, Drama lover; User interests: Classic films, Action movies, Science fiction, Independent films, Indie rock music.];
item 6480: [Text information: title: The Westerner, year: 1940, the profile of the users that the item is targeting: User identity: Movie buff, Drama lover, Western movie enthusiast, Action movie fan, Historical drama lover; User interests: Movies from the 70s and 80s, Thrillers and suspenseful films, Heartwarming stories, Classic movies, Adventures in the wild west.];
item 5639: [Text information: title: Penny Serenade, year: 1941, the profile of the users that the item is targeting: User identity: Movie buff, Action movie fan, Sci-fi enthusiast, Classic film lover, Comedy lover; User interests: Movies from the '80s and '90s, Disaster movies, Science fiction, Quirky humor, Relationship dynamics.];
item 5914: [Text information: title: Fantasia, year: 1940, the profile of the users that the item is targeting: User identity: Movie buff, Comedy lover, Drama enthusiast, Action movie fan, Historical drama enthusiast; User interests: Movies from the 90s, Quirky humor, Character development, Action movies, Historical dramas.];
","User identity: Military enthusiast, Historical fiction lover, War movie fan, Aviation enthusiast, Romantic; User interests: Drama, Love story, World War II, Fighter planes, British history."
20,"The target item text information: [title: Tai Chi: The 24 Forms, year: 1999]. Here is the list of item (text information and the profile of the users that the item is targeting):
item 5420: [Text information: title: The Matrix, year: 1999, the profile of the users that the item is targeting: User identity: Comedy lover, Movie buff, Action enthusiast, Adventure seeker, Drama lover; User interests: Quirky humor, High-octane thrills, Movies from the late '90s and early 2000s, Satire, Emotional dramas.];
item 5747: [Text information: title: Fortress 2, year: 1999, the profile of the users that the item is targeting: User identity: Movie buff, Action movie fan, Science fiction fan, Disaster movie enthusiast, Drama lover; User interests: Film analysis, Quirky humor, Action movies from the '90s, Spy thrillers, Theme exploration.];
item 178: [Text information: title: Mumford, year: 1999, the profile of the users that the item is targeting: User identity: Nostalgic film lover, Comedy lover, Thriller enthusiast, Drama enthusiast, Action movie fan; User interests: Classic films, Dark comedies, Suspenseful thrillers, Family dramas, Self-discovery.];
item 1367: [Text information: title: Sooryavansham, year: 1999, the profile of the users that the item is targeting: User identity: Movie buff, History enthusiast, Music lover, Nostalgic, Adventurous; User interests: Action movies, Historical dramas, Classic rock music, Classic films, Romantic comedies.];
item 430: [Text information: title: La Buche, year: 1999, the profile of the users that the item is targeting: User identity: Movie enthusiast, Romantic comedy lover, Disaster movie fanatic, Nostalgic for early 2000s films, Sentimental for heartwarming movies; User interests: Action movies, Romantic comedies, Natural disaster films, Films from the late 90s to early 2000s, Feel-good movie experiences.];
","User identity: Movie buff, Music lover, Romantic, Tai Chi enthusiast, Fitness enthusiast; User interests: Action movies, Indie rock music, Relationship drama, Martial arts, Wellness and self-care."
24,"The target item text information: [title: The Killing, year: 1956]. Here is the list of item (text information and the profile of the users that the item is targeting):
item 3759: [Text information: title: An Affair to Remember, year: 1957, the profile of the users that the item is targeting: User identity: Movie buff, Action movie fan, Drama enthusiast, Romantic comedy enthusiast, Nostalgic film lover; User interests: Film analysis, Action movies, Drama films from the past century, Romance, Classic films.];
item 2758: [Text information: title: Nights of Cabiria, year: 1957, the profile of the users that the item is targeting: User identity: Movie buff, Action movie fan, Drama movie lover, Comedy lover, Science fiction enthusiast; User interests: Movies from the 90s, Action movies, Dramatic storytelling, Quirky humor, Exploring new worlds through science fiction.];
item 1196: [Text information: title: The Great Locomotive Chase, year: 1956, the profile of the users that the item is targeting: User identity: Action movie fan, Comedy lover, Drama enthusiast, Adventure seeker, Movie buff; User interests: Action movies, Comedies, Heartwarming dramas, drama films about family dynamics, disaster movies.];
item 3740: [Text information: title: Pyaasa, year: 1957, the profile of the users that the item is targeting: User identity: Action movie fan, Science fiction enthusiast, Comedy lover, Drama lover, Thriller enthusiast; User interests: Action movies, Sci-fi, Comedy, Drama, Thrillers.];
item 6017: [Text information: title: The Seven Little Foys, year: 1955, the profile of the users that the item is targeting: User identity: Action movie fan, Crime drama enthusiast, Science fiction lover, Classic film enthusiast, Romantic comedy lover; User interests: Adventure, Suspense, Exploration, Mystery, Romance.];
","User identity: Romantic Comedy Fan, Action Movie Enthusiast, Indie Film Lover, Adventure Lover, Social Commentator; User interests: Relationships, Adventure, Social Commentary, Quirky Humor, Classic Films from the 90s."
25,"The target item text information: [title: Antarctica: IMAX, year: 1991]. Here is the list of item (text information and the profile of the users that the item is targeting):
item 2941: [Text information: title: Mountains of the Moon, year: 1990, the profile of the users that the item is targeting: User identity: Comedy lover, Drama enthusiast, Thriller fan, Classic film enthusiast, Adventure seeker; User interests: Humor, Relationships, Suspense, Historical dramas, Action movies from the late '80s and early '90s.];
item 4686: [Text information: title: Tropical Rainforest: IMAX, year: 1992, the profile of the users that the item is targeting: User identity: Movie buff, Adventure seeker, Drama lover, Action movie fan, Comedy movie lover; User interests: Movies from the 90s, Thrillers, Romantic comedies, Adventure, Humor.];
item 203: [Text information: title: Blue Planet: IMAX, year: 1990, the profile of the users that the item is targeting: User identity: Movie buff, Comedy lover, Action movie fan, History enthusiast, Indie film enthusiast; User interests: Movies from the late '90s and early 2000s, Quirky humor, Adventure and action films, Historical dramas, Independent films.];
item 4362: [Text information: title: Operation Condor, year: 1991, the profile of the users that the item is targeting: User identity: Movie buff, Action movie fan, Comedy lover, Drama enthusiast, Classic film enthusiast; User interests: Adventure, Action movies, Classic films, Humor and satire, Social issues and human relationships.];
item 3039: [Text information: title: Lee Rock, year: 1991, the profile of the users that the item is targeting: User identity: Action movie fan, Classic film enthusiast, Science fiction lover, Movie buff, Drama enthusiast; User interests: Adventure, Suspense, Exploration, Movies from the '90s, Quirky humor.];
","User identity: Movie buff, Comedy lover, Action enthusiast, Romantic comedy fanatic, Classic film enthusiast; User interests: Movies from the 90s, Quirky humor, Adventure films, Relationship drama films, Science fiction films."
33,"The target item text information: [title: Sam the Iron Bridge, year: 1993]. Here is the list of item (text information and the profile of the users that the item is targeting):
item 3817: [Text information: title: Amos & Andrew, year: 1993, the profile of the users that the item is targeting: User identity: Action movie fan, Classic film enthusiast, Science fiction lover, Drama movie enthusiast, Thriller lover; User interests: Adventure, Suspense, Exploration, Human relationships, Historical dramas.];
item 4461: [Text information: title: Cliffhanger, year: 1993, the profile of the users that the item is targeting: User identity: Movie buff, Romantic comedy fan, Action movie enthusiast, Classic horror movie enthusiast, Science fiction enthusiast; User interests: Movies from the 90s, Relationships, Adventure, Action movies, Horror movies.];
item 555: [Text information: title: Darr, year: 1993, the profile of the users that the item is targeting: User identity: Movie buff, Drama lover, Action enthusiast, Classic film enthusiast, Science fiction lover; User interests: Film analysis, Character development, Humorous storytelling, Thrillers, Science fiction.];
item 5922: [Text information: title: Dave, year: 1993, the profile of the users that the item is targeting: User identity: Movie buff, Action movie enthusiast, Classic film lover, Comedy lover, Drama enthusiast; User interests: Movies from different genres, Exciting action scenes, Timeless classics, Quirky humor, Exploring complex themes.];
item 2146: [Text information: title: Hard Target, year: 1993, the profile of the users that the item is targeting: User identity: Adventure seeker, Drama lover, Comedy fan, Movie buff, Action enthusiast; User interests: Thrillers and suspenseful films, Psychological thrillers, Comedy, Film analysis, Movies from the 80s and 90s.];
","User identity: Action movie fan, Classic film enthusiast, Science fiction lover, Comedy movie lover, Thriller enthusiast; User interests: Adventure, Suspense, Exploration, Humor, Thriller."
34,"The target item text information: [title: Complete Shamanic Princess, year: 1997]. Here is the list of item (text information and the profile of the users that the item is targeting):
item 3118: [Text information: title: Dancehall Queen, year: 1997, the profile of the users that the item is targeting: User identity: Action movie fan, Science fiction enthusiast, History buff, Movie buff, Comedy lover; User interests: Action movies, Sci-fi films, Historical dramas, Movies from the early 2000s, Science fiction films.];
item 5254: [Text information: title: Lolita, year: 1997, the profile of the users that the item is targeting: User identity: Film Enthusiast, Classic film enthusiast, Action movie lover, Adventure seeker, Nostalgic; User interests: Drama, Historical dramas, Action movies, Thrilling adventures, Classic rock.];
item 6450: [Text information: title: Hercules: Warrior Princess / Gauntlet / Unchained Heart, year: 1995, the profile of the users that the item is targeting: User identity: Action movie fan, Movie buff, Drama lover, Comedy fan, Classic film enthusiast; User interests: Action movies from the '90s and early 2000s, Nostalgia for classic films from the past century, Excitement for upcoming sci-fi releases, Movies from the 70s and 80s, Thrillers and suspenseful films.];
item 5487: [Text information: title: Mary Reilly, year: 1996, the profile of the users that the item is targeting: User identity: Action movie fan, Comedy lover, Drama enthusiast, Music appreciator, Sci-fi enthusiast; User interests: Action movies, Dark comedies, Dramatic storytelling, Humor, Indie rock music.];
item 5668: [Text information: title: Godmoney, year: 1997, the profile of the users that the item is targeting: User identity:  Action movie fan, Comedy lover, Crime drama enthusiast, Science fiction enthusiast, Dark humor enthusiast; User interests: Action movies, Comedy films, Crime dramas, Sci-fi movies, Dark comedies.];
","User identity: Action movie fan, Comedy lover, Thriller enthusiast, Martial arts fan, Movie buff; User interests: Adventure, Humor, Suspense, Relationships, Movies from the 90s."
50,"The target item text information: [title: Cannibal Women in the Avocado Jungle of Death, year: 1988]. Here is the list of item (text information and the profile of the users that the item is targeting):
item 5155: [Text information: title: Killing Zoe, year: 1994, the profile of the users that the item is targeting: User identity: Movie buff, Drama lover, History enthusiast, Comedy lover, Action enthusiast; User interests: Movies from the 90s, Historical dramas, Quirky humor, Thrilling adventures, Psychological thrillers.];
item 4585: [Text information: title: Bad Girls Go to Hell/ Another Day Another Man, year: 1966, the profile of the users that the item is targeting: User identity: Movie buff, Action movie fan, Drama lover, Adventure seeker, Science fiction lover; User interests: Action movies, Movies from the 90s, Drama films, Adventure and exploration, Science fiction movies.];
item 5996: [Text information: title: Living Dead Girl, year: 1982, the profile of the users that the item is targeting: User identity: Action movie fan, Drama lover, Sci-fi enthusiast, Romantic comedy lover, Movie buff; User interests: Action movies, Drama, Sci-fi, Romantic comedies, Movies from the 70s and 80s.];
item 1701: [Text information: title: Sorority House Massacre, year: 1986, the profile of the users that the item is targeting: User identity: Movie buff, Action movie fanatic, Classic film enthusiast, Nostalgic film enthusiast, Classic movie lover; User interests: Film analysis, Genre exploration, Historical context examination, Film history, Iconic movies.];
item 1146: [Text information: title: Evil Dead 2: Dead by Dawn, year: 1987, the profile of the users that the item is targeting: User identity: Action movie enthusiast, Horror movie fan, Classic film lover, Movie buff, Thriller lover; User interests: Action movies from the '90s and early 2000s, Horror movies, Classics such as ""Evil Dead 2: Dead by Dawn,"" Psychological thrillers, Drama, Character development.];
","User identity: Action movie fan, Comedy lover, Science fiction enthusiast, Movie buff, Adventure seeker; User interests: Action movies, Comedy films, Sci-fi thrillers, Movies from the 90s, Relationships."
61,"The target item text information: [title: Blood and Sand, year: 1989]. Here is the list of item (text information and the profile of the users that the item is targeting):
item 5799: [Text information: title: Going Overboard, year: 1989, the profile of the users that the item is targeting: User identity: Movie buff, Comedy lover, Action enthusiast, Romantic comedy fan, Classic film lover; User interests: Movies from the late '90s and early 2000s, Relationships and romance, Comedy with social commentary, Quentin Tarantino films, Disaster movies.];
item 3142: [Text information: title: City War, year: 1989, the profile of the users that the item is targeting: User identity: Action movie fan, Classic film enthusiast, Science fiction lover, Movie buff, Adventure; User interests: Action movies from the late 19th century, Historical dramas set during World War II, Fantasy films exploring advanced technologies, Film analysis, Suspense.];
item 1206: [Text information: title: Mighty Quinn, year: 1989, the profile of the users that the item is targeting: User identity: Movie buff, Comedy lover, Action movie fan, Drama enthusiast, Sci-fi enthusiast; User interests: Movies from different decades, Humor and satire, Exploring human relationships, Science fiction, Fantasy.];
item 6182: [Text information: title: Communion, year: 1989, the profile of the users that the item is targeting: User identity: Science fiction lover, Action movie fan, Comedy lover, Movie buff, Movie aficionado; User interests:  Science fiction, Suspense, Action, Comedy, Movie analysis.];
item 4717: [Text information: title: Camille Claudel, year: 1989, the profile of the users that the item is targeting: User identity: Movie buff, Adventure seeker, Romantic, Action movie fan, History buff; User interests: Movies from the 70s and 80s, Disaster movies, Love stories, Psychological thrillers, Historical events.];
","User identity: Film aficionado, Nostalgic personality, Adventure seeker, Cinephile, Classic movie enthusiast; User interests: Drama, Romance, Action, Period pieces, History."
